IDNasabah,Usia,JenisPekerjaan,PendapatanBulanan_juta,PendapatanTahunan_juta,SkorKredit,LamaMenjadiNasabah_tahun,RataSaldoTabungan_juta,JumlahProdukDimiliki,TotalTransaksiBulanan,RasioUtangTerhadapPendapatan,LimitKredit_juta
NSB00659,39,Karyawan,17.19,205.71,654,17,25.35,3,54,0.256,63.79
NSB00660,57,Wiraswasta,5.93,71.3,613,14,6.09,1,40,0.372,19.89
NSB00661,39,Wiraswasta,7.15,85.99,600,0,28.21,2,11,0.068,24.11
NSB00662,35,PNS,12.77,153.29,696,4,35.72,2,17,0.326,41.3
NSB00663,57,Karyawan,5.2,62.27,673,2,18.86,1,31,0.427,11.61
NSB00664,60,Profesional,13.46,161.95,622,5,8.66,1,34,0.268,38.85
NSB00665,35,Karyawan,6.76,81.69,594,4,24.73,1,31,0.348,20.42
NSB00666,39,PNS,5.81,69.15,640,0,15.08,1,32,0.252,24.54
NSB00667,46,Karyawan,7.75,93.27,578,1,19.67,1,39,0.373,9.98
NSB00668,52,Profesional,6.74,80.5,613,4,16.66,2,34,0.284,22.37
NSB00669,44,Karyawan,11.85,142.68,719,2,20.13,1,35,0.341,36.97
NSB00670,53,Wiraswasta,21.92,264.08,611,0,38.44,5,50,0.29,76.02
NSB00671,58,Karyawan,14.89,178.39,650,4,32.72,4,30,0.372,44.14
NSB00672,39,PNS,13.35,159.92,627,0,22.92,4,42,0.383,41.07
NSB00673,59,Karyawan,7.61,91.31,669,1,25.07,1,33,0.273,27.32
NSB00674,58,Profesional,9.25,111.05,678,15,30.23,2,18,0.198,46.81
NSB00675,65,Profesional,11.0,131.89,558,4,5.93,1,50,0.205,27.87
NSB00676,42,PNS,10.08,121.51,594,10,9.0,1,40,0.125,41.95
NSB00677,59,Karyawan,11.19,133.44,657,1,41.05,1,10,0.233,42.26
NSB00678,64,PNS,5.55,66.47,639,10,3.67,3,35,0.299,20.14
NSB00679,63,Wiraswasta,25.91,311.73,627,0,84.98,2,40,0.237,93.55
NSB00680,63,Karyawan,5.14,61.61,553,5,15.26,1,42,0.433,4.79
NSB00681,39,Karyawan,9.52,114.13,640,2,30.74,1,40,0.244,31.59
NSB00682,61,Karyawan,15.78,189.13,620,4,33.13,1,44,0.295,52.22
NSB00683,41,Karyawan,6.96,83.84,659,2,9.6,1,29,0.37,12.2
NSB00684,61,Karyawan,17.7,212.99,660,2,37.0,1,42,0.281,44.33
NSB00685,57,PNS,4.92,58.73,579,6,12.57,2,39,0.375,9.74
NSB00686,28,Karyawan,6.96,83.14,546,0,6.69,1,11,0.457,3.0
NSB00687,27,PNS,4.0,47.92,620,14,2.94,2,28,0.349,23.83
NSB00688,50,PNS,17.5,209.88,664,3,28.44,2,36,0.192,57.22
NSB00689,32,Profesional,5.49,66.12,659,3,20.24,1,26,0.364,14.43
NSB00690,54,Karyawan,7.12,85.4,528,6,10.44,1,37,0.254,14.68
NSB00691,56,Profesional,15.18,183.12,714,3,9.54,3,34,0.174,65.18
NSB00692,45,Wiraswasta,12.18,147.25,702,21,43.54,3,22,0.421,45.77
NSB00693,56,PNS,17.7,211.66,618,0,66.83,3,27,0.314,61.1
NSB00694,45,Wiraswasta,14.24,171.0,531,3,42.44,2,43,0.213,32.51
NSB00695,47,Karyawan,16.16,194.72,606,10,11.4,2,23,0.361,60.49
NSB00696,30,Karyawan,7.92,95.13,685,2,16.96,1,21,0.3,11.68
NSB00697,47,Wiraswasta,9.72,116.8,635,4,37.11,2,36,0.208,34.03
NSB00698,29,Karyawan,14.91,178.6,656,7,45.81,1,23,0.349,48.91
NSB00699,49,Profesional,15.02,179.85,687,25,50.96,3,17,0.268,74.9
NSB00700,56,Wiraswasta,16.6,199.37,615,3,32.05,2,35,0.287,43.11
NSB00701,55,Profesional,6.82,82.17,605,3,23.09,2,31,0.494,16.44
NSB00702,28,PNS,5.74,68.59,681,7,2.15,3,16,0.323,23.25
NSB00703,56,Profesional,5.29,63.45,660,1,10.2,2,34,0.305,17.52
NSB00704,54,PNS,7.94,95.97,663,4,34.04,1,14,0.313,25.71
NSB00705,28,PNS,9.63,115.47,634,9,31.82,1,8,0.293,23.77
NSB00706,25,Karyawan,5.46,65.57,639,2,12.53,1,32,0.328,16.49
NSB00707,50,Wiraswasta,9.22,111.0,743,13,21.57,2,33,0.285,39.23
NSB00708,40,Karyawan,14.09,169.48,703,9,30.5,2,36,0.382,53.55
NSB00709,43,Karyawan,16.97,203.52,727,6,44.73,3,23,0.43,52.85
NSB00710,23,Karyawan,7.48,89.69,543,1,7.59,2,7,0.276,11.66
NSB00711,32,Karyawan,13.63,164.57,575,18,39.5,2,31,0.132,58.95
NSB00712,51,PNS,5.22,62.41,662,2,14.2,2,21,0.192,21.78
NSB00713,49,Karyawan,7.2,85.94,611,1,23.82,2,19,0.303,23.16
NSB00714,34,Karyawan,10.72,129.22,444,6,14.82,2,31,0.34,23.79
NSB00715,37,Profesional,7.25,87.44,699,14,14.82,2,37,0.18,43.3
NSB00716,42,PNS,6.77,80.93,685,3,21.02,2,17,0.385,20.29
NSB00717,36,Karyawan,11.66,140.42,643,0,40.28,2,33,0.207,38.79
NSB00718,34,Karyawan,6.06,72.83,633,4,14.44,1,23,0.059,33.59
NSB00719,35,Wiraswasta,10.75,128.96,545,2,34.7,2,56,0.271,24.81
NSB00720,44,PNS,9.59,115.14,704,8,21.73,1,22,0.33,33.26
NSB00721,46,Karyawan,13.21,159.71,809,14,32.95,1,20,0.18,60.74
NSB00722,50,Wiraswasta,15.01,180.68,783,3,7.96,6,48,0.151,59.3
NSB00723,32,Wiraswasta,10.87,130.77,632,2,31.38,1,59,0.259,36.16
NSB00724,29,PNS,7.83,94.17,638,4,15.87,2,18,0.214,32.74
NSB00725,35,Karyawan,17.12,204.99,679,0,22.58,1,25,0.38,41.4
NSB00726,56,Karyawan,11.23,134.61,588,9,17.53,1,27,0.35,20.0
NSB00727,58,Karyawan,6.41,76.89,591,2,21.46,2,16,0.34,26.53
NSB00728,56,Wiraswasta,11.08,132.52,663,0,26.96,1,38,0.16,27.86
NSB00729,39,Karyawan,7.37,88.64,668,12,27.74,1,16,0.173,36.16
NSB00730,63,Wiraswasta,4.0,48.23,587,2,5.8,2,28,0.192,9.1
NSB00731,47,Profesional,6.15,73.79,636,9,20.83,3,29,0.465,28.14
NSB00732,38,Karyawan,8.32,99.53,588,12,11.11,3,43,0.342,30.32
NSB00733,47,Profesional,7.98,95.47,597,0,26.88,1,41,0.263,23.43
NSB00734,60,Wiraswasta,4.55,54.96,673,0,9.6,3,34,0.288,18.57
NSB00735,41,PNS,8.44,101.06,608,8,25.68,1,18,0.189,29.01
NSB00736,26,Karyawan,12.64,150.97,593,2,30.5,3,39,0.277,45.03
NSB00737,35,PNS,5.6,66.81,599,3,11.88,1,20,0.371,15.26
NSB00738,65,Karyawan,11.57,138.6,559,0,46.84,2,35,0.301,37.62
NSB00739,42,Profesional,4.0,48.24,671,8,11.57,1,19,0.242,32.77
NSB00740,31,PNS,13.17,158.86,567,8,47.66,2,33,0.438,40.21
NSB00741,60,Karyawan,7.54,90.71,580,5,15.83,2,23,0.211,32.05
NSB00742,38,PNS,5.04,60.31,638,4,5.55,1,26,0.22,15.94
NSB00743,36,Profesional,18.01,216.87,545,6,50.62,4,66,0.191,77.53
NSB00744,26,PNS,12.89,154.59,721,3,18.98,2,51,0.485,32.87
NSB00745,63,Karyawan,16.57,199.36,709,0,31.1,3,37,0.299,56.69
NSB00746,58,Wiraswasta,11.88,143.83,631,1,10.6,3,39,0.183,38.75
NSB00747,39,Profesional,12.11,145.22,719,8,38.9,2,15,0.297,54.79
NSB00748,43,PNS,8.28,98.84,635,0,18.0,1,35,0.3,31.36
NSB00749,33,PNS,12.59,152.27,699,12,26.71,2,44,0.339,51.6
NSB00750,64,Karyawan,9.68,116.11,692,2,32.62,4,20,0.472,17.04
NSB00751,62,Wiraswasta,7.25,86.96,791,17,26.84,2,15,0.432,25.06
NSB00752,28,Karyawan,9.16,109.23,635,0,8.16,3,18,0.138,27.41
NSB00753,32,PNS,5.21,62.72,755,3,6.54,6,38,0.461,16.57
NSB00754,61,Karyawan,9.97,120.18,689,1,37.3,3,25,0.337,23.82
NSB00755,31,Profesional,12.69,152.48,719,0,35.03,1,37,0.449,36.77
NSB00756,37,Karyawan,10.78,129.96,650,7,33.43,1,33,0.411,30.74
NSB00757,57,Karyawan,13.56,162.51,660,2,31.35,2,19,0.246,43.84
NSB00758,32,PNS,8.6,103.79,759,4,7.96,2,20,0.313,37.25
NSB00759,59,Karyawan,10.27,123.66,625,11,32.61,1,25,0.427,30.19
NSB00760,50,Karyawan,10.25,123.91,574,5,25.44,2,28,0.274,28.07
NSB00761,30,Wiraswasta,27.43,327.06,832,15,79.31,1,52,0.229,111.28
NSB00762,23,Karyawan,5.15,61.51,523,7,13.83,2,34,0.411,7.96
NSB00763,29,PNS,28.71,345.86,715,0,46.55,1,63,0.25,101.05
NSB00764,45,Wiraswasta,6.93,83.31,595,5,22.44,1,3,0.308,14.36
NSB00765,64,Profesional,8.49,101.54,664,18,27.42,3,63,0.379,42.4
NSB00766,42,Karyawan,11.66,140.02,559,11,39.92,3,43,0.385,32.41
NSB00767,27,Wiraswasta,13.64,164.35,628,3,10.92,3,35,0.266,40.35
NSB00768,24,PNS,9.97,120.23,547,0,23.54,1,18,0.262,21.81
NSB00769,30,Wiraswasta,11.34,136.28,648,9,16.03,3,44,0.298,33.27
NSB00770,41,Wiraswasta,20.76,249.31,677,3,43.21,2,56,0.315,61.17
NSB00771,41,Karyawan,38.72,465.7,608,3,63.44,5,72,0.235,147.39
NSB00772,35,Wiraswasta,12.5,150.03,708,9,47.15,1,42,0.201,43.19
NSB00773,49,Karyawan,14.5,175.4,681,0,24.65,4,42,0.281,49.58
NSB00774,32,PNS,9.62,115.29,509,2,14.24,2,27,0.166,28.04
NSB00775,33,PNS,23.84,286.21,624,1,37.35,1,31,0.284,79.22
NSB00776,62,Profesional,9.55,114.56,613,12,9.37,2,11,0.155,52.59
NSB00777,45,Profesional,13.17,159.08,837,4,39.6,2,32,0.343,45.71
NSB00778,48,Karyawan,5.91,70.8,623,3,23.44,2,41,0.171,21.1
NSB00779,47,PNS,4.0,48.19,561,10,8.09,2,49,0.435,9.77
NSB00780,28,Karyawan,32.64,391.74,721,15,120.28,5,59,0.315,150.17
NSB00781,47,Karyawan,17.57,210.54,563,0,15.33,3,23,0.414,41.86
NSB00782,55,PNS,16.26,193.56,600,3,33.59,2,33,0.31,51.62
NSB00783,23,Karyawan,6.28,75.37,714,9,6.27,2,34,0.247,26.16
NSB00784,38,Wiraswasta,4.38,52.93,622,4,17.8,1,42,0.375,3.0
NSB00785,34,Wiraswasta,8.98,107.5,635,3,15.43,1,30,0.298,26.23
NSB00786,48,Karyawan,10.78,127.89,685,0,11.1,4,53,0.454,33.15
NSB00787,61,Karyawan,14.71,176.79,763,7,30.22,3,46,0.137,69.39
NSB00788,38,Karyawan,10.21,121.97,671,10,37.81,3,40,0.336,50.13
NSB00789,24,Karyawan,19.63,233.95,597,6,14.2,3,47,0.322,57.07
NSB00790,50,Wiraswasta,12.14,145.42,641,6,15.92,2,37,0.498,29.83
NSB00791,35,Karyawan,11.91,142.19,649,2,16.49,3,34,0.245,36.93
NSB00792,52,Profesional,18.47,222.62,666,12,16.71,3,42,0.247,73.26
NSB00793,28,Karyawan,7.2,86.49,657,1,9.4,3,27,0.333,33.99
NSB00794,34,Wiraswasta,12.38,148.96,588,1,18.12,5,51,0.432,18.65
NSB00795,39,PNS,7.63,91.35,730,3,34.17,1,11,0.379,26.48
NSB00796,58,Karyawan,7.18,86.14,654,3,21.08,2,20,0.375,20.74
NSB00797,46,Karyawan,22.12,264.89,579,8,50.85,1,48,0.149,84.13
NSB00798,49,Karyawan,17.83,214.21,638,0,59.67,1,25,0.299,58.78
NSB00799,53,Wiraswasta,13.39,159.25,706,12,30.79,2,39,0.218,46.36
NSB00800,48,Karyawan,19.93,239.14,705,13,40.11,2,35,0.161,84.14
NSB00801,60,PNS,12.33,148.57,715,0,45.06,3,22,0.388,40.91
NSB00802,31,Karyawan,20.4,246.47,618,11,72.95,3,43,0.234,90.5
NSB00803,50,Karyawan,6.58,79.22,542,5,15.64,2,44,0.262,22.25
NSB00804,33,PNS,9.44,113.35,675,2,9.61,2,28,0.238,34.65
NSB00805,46,Wiraswasta,12.4,147.79,620,6,30.49,3,45,0.435,30.22
NSB00806,39,PNS,6.07,72.88,593,0,2.67,3,41,0.425,12.83
NSB00807,62,Karyawan,7.21,85.84,700,12,26.74,1,11,0.388,24.04
NSB00808,23,Karyawan,5.38,64.33,560,1,10.58,1,34,0.51,3.0
NSB00809,46,Wiraswasta,14.44,173.13,570,5,42.83,1,26,0.45,38.86
NSB00810,24,Karyawan,8.03,96.25,553,0,18.92,1,38,0.481,3.0
NSB00811,38,Profesional,11.71,141.01,692,9,22.38,1,27,0.107,48.77
NSB00812,51,Karyawan,13.35,160.01,619,0,48.11,3,45,0.341,35.21
NSB00813,32,Profesional,9.4,112.23,620,14,32.29,1,63,0.061,53.32
NSB00814,35,Karyawan,10.32,123.59,522,6,29.8,1,23,0.336,21.14
NSB00815,51,Karyawan,10.95,131.0,694,11,43.34,2,20,0.224,50.9
NSB00816,53,Karyawan,12.69,152.93,578,4,24.68,1,32,0.278,36.47
NSB00817,50,Karyawan,20.33,242.51,687,3,60.09,2,48,0.35,67.42
NSB00818,25,Profesional,5.81,69.58,609,7,9.89,1,43,0.06,32.97
NSB00819,36,Wiraswasta,10.69,128.74,665,9,24.52,2,49,0.31,30.13
NSB00820,54,Karyawan,5.52,66.01,604,11,4.89,1,23,0.336,18.76
NSB00821,59,Profesional,21.46,257.9,674,4,6.79,1,34,0.364,63.85
NSB00822,31,PNS,4.0,48.0,514,8,0.6,2,13,0.309,11.48
NSB00823,39,PNS,11.12,133.25,582,1,19.18,2,24,0.192,33.57
NSB00824,60,Karyawan,8.24,98.18,689,14,5.81,2,30,0.47,21.6
NSB00825,27,Karyawan,7.6,91.21,724,8,19.86,2,42,0.296,27.08
NSB00826,61,Profesional,14.72,176.26,657,0,48.8,2,52,0.333,67.77
NSB00827,38,Karyawan,13.4,160.97,603,5,22.98,4,30,0.512,40.11
NSB00828,52,Karyawan,6.25,74.56,577,0,21.53,2,22,0.142,23.98
NSB00829,41,Karyawan,12.94,155.6,631,0,40.58,3,39,0.237,39.73
NSB00830,39,Profesional,11.82,142.21,580,8,29.39,3,41,0.386,43.49
NSB00831,38,Karyawan,6.96,83.98,673,0,25.87,3,38,0.314,26.48
NSB00832,23,Karyawan,4.83,57.85,742,6,18.71,2,12,0.279,25.77
NSB00833,62,PNS,15.29,182.96,602,0,6.18,3,26,0.387,33.41
NSB00834,55,Karyawan,14.56,175.34,516,4,32.94,3,48,0.194,44.56
NSB00835,62,Karyawan,13.29,158.81,583,0,51.61,1,44,0.272,39.22
NSB00836,46,Profesional,7.78,93.04,604,0,29.79,2,23,0.295,22.87
NSB00837,64,PNS,18.95,227.11,636,10,19.32,3,43,0.184,77.04
NSB00838,25,Karyawan,59.35,708.94,813,8,154.65,5,89,0.325,300.86
NSB00839,37,PNS,11.05,133.36,685,2,21.02,3,39,0.304,29.82
NSB00840,47,Karyawan,13.35,160.81,605,8,22.16,2,24,0.078,55.01
NSB00841,43,Karyawan,6.69,79.58,699,6,21.26,1,29,0.361,18.0
NSB00842,22,Wiraswasta,6.71,79.83,711,1,4.55,1,14,0.172,17.99
NSB00843,26,Karyawan,24.99,299.09,559,1,72.54,3,52,0.325,72.7
NSB00844,41,Profesional,32.56,391.49,682,10,65.52,3,49,0.294,138.03
NSB00845,58,Wiraswasta,8.93,107.45,646,7,26.91,2,23,0.197,35.03
NSB00846,48,Karyawan,7.24,87.37,698,1,13.09,2,30,0.238,35.3
NSB00847,34,Karyawan,6.31,75.81,600,25,14.18,1,18,0.157,32.13
NSB00848,57,Wiraswasta,7.4,88.42,603,2,30.78,1,14,0.346,10.47
NSB00849,61,Wiraswasta,10.39,124.89,585,1,28.19,1,35,0.382,27.15
NSB00850,34,Profesional,5.32,63.54,588,9,19.46,1,17,0.371,21.22
NSB00851,62,PNS,7.01,83.84,624,7,24.28,2,43,0.252,29.36
NSB00852,32,Wiraswasta,16.42,195.77,681,2,43.34,3,52,0.136,61.69
NSB00853,47,Karyawan,9.25,110.6,657,1,0.36,2,40,0.249,23.24
NSB00854,36,Karyawan,6.73,80.56,734,15,22.08,1,11,0.197,39.02
NSB00855,53,Karyawan,5.5,65.85,634,17,10.62,2,35,0.396,23.57
NSB00856,24,Profesional,17.45,210.88,652,3,54.83,3,31,0.257,74.18
NSB00857,24,Karyawan,5.86,70.35,672,10,14.12,2,39,0.14,31.81
NSB00858,62,Wiraswasta,9.33,112.12,740,13,7.81,2,20,0.334,35.87
NSB00859,29,Karyawan,16.82,201.97,616,11,30.91,3,37,0.172,65.28
NSB00860,60,PNS,13.26,160.13,643,5,8.14,1,39,0.265,37.97
NSB00861,51,Karyawan,11.67,139.51,572,1,39.58,2,27,0.429,21.52
NSB00862,48,Profesional,11.72,141.06,646,0,21.11,2,29,0.44,32.14
NSB00863,53,Profesional,6.15,73.55,526,0,22.95,2,30,0.283,19.02
NSB00864,25,Karyawan,6.92,82.99,559,4,6.5,1,24,0.177,21.12
NSB00865,24,Karyawan,7.9,94.99,686,23,13.09,1,30,0.259,48.22
NSB00866,25,Karyawan,4.0,47.74,558,4,3.03,3,32,0.311,8.59
NSB00867,22,PNS,8.1,97.05,637,1,5.35,2,16,0.372,20.43
NSB00868,63,Karyawan,9.54,114.48,584,4,10.35,2,57,0.209,29.65
NSB00869,41,Karyawan,9.62,115.67,526,12,1.2,1,41,0.417,16.0
NSB00870,27,Wiraswasta,9.42,112.94,578,0,10.25,1,34,0.237,25.59
NSB00871,35,PNS,11.16,135.43,686,1,29.28,2,25,0.256,43.16
NSB00872,28,PNS,11.55,139.64,666,7,27.77,2,44,0.23,40.56
NSB00873,61,PNS,23.38,278.09,681,1,15.69,5,46,0.241,83.34
NSB00874,56,Wiraswasta,10.89,130.74,470,1,3.66,2,33,0.49,3.0
NSB00875,22,Karyawan,15.63,187.98,614,4,11.05,3,37,0.405,40.67
NSB00876,35,Wiraswasta,7.4,88.92,675,9,21.61,4,38,0.259,30.83
NSB00877,50,Wiraswasta,11.91,143.71,633,8,13.14,1,49,0.372,32.43
NSB00878,40,Karyawan,11.71,138.91,672,1,38.97,2,29,0.216,33.31
NSB00879,31,PNS,8.96,107.06,652,2,19.93,1,43,0.119,28.68
NSB00880,40,Wiraswasta,4.17,50.35,580,1,12.25,1,29,0.339,3.0
NSB00881,40,Karyawan,5.03,60.65,688,8,12.95,1,15,0.569,3.0
NSB00882,52,PNS,12.74,154.28,754,15,39.2,2,59,0.277,56.3
NSB00883,46,Wiraswasta,9.83,118.74,674,4,23.43,1,37,0.274,29.52
NSB00884,42,Wiraswasta,8.9,106.25,654,0,13.76,1,12,0.149,28.31
NSB00885,49,Karyawan,7.11,85.67,553,2,1.65,1,23,0.164,13.85
NSB00886,57,Karyawan,10.6,127.06,633,1,1.01,1,20,0.296,24.62
NSB00887,26,Karyawan,13.61,163.46,646,1,27.27,4,31,0.284,43.83
NSB00888,43,Karyawan,26.53,318.43,607,3,92.53,5,45,0.258,97.16
NSB00889,55,Karyawan,10.07,120.61,632,10,5.98,2,32,0.263,40.14
NSB00890,34,Profesional,9.27,111.02,606,8,28.59,2,33,0.285,30.88
NSB00891,60,Karyawan,11.7,140.84,718,9,26.5,1,38,0.317,47.72
NSB00892,30,Karyawan,18.6,222.71,593,4,73.95,4,45,0.378,55.78
NSB00893,23,PNS,33.66,404.27,706,9,122.04,3,54,0.389,145.25
NSB00894,55,PNS,13.63,163.88,634,3,13.0,1,48,0.346,30.95
NSB00895,55,Karyawan,4.84,57.96,639,0,16.51,2,20,0.187,17.2
NSB00896,31,Profesional,10.35,124.06,624,2,40.11,1,34,0.112,42.61
NSB00897,65,Karyawan,5.67,68.35,580,6,6.95,1,37,0.423,5.91
NSB00898,48,Karyawan,6.21,74.01,638,4,14.66,4,46,0.357,24.25
NSB00899,23,Profesional,26.15,312.96,829,23,91.07,4,42,0.341,133.04
NSB00900,48,Wiraswasta,8.55,102.05,649,2,21.35,3,29,0.191,35.26
