IDCabang,KategoriKota,Wilayah,JumlahNasabahAktif,JumlahTeller,JumlahPegawai,JumlahATM,LuasCabang_m2,UmurCabang_tahun,JamOperasionalPerHari,TransaksiHarian,TransaksiBulanan,SkorKepuasanNasabah,KodeInternal,BiayaOperasional_jutaPerBulan
CBG01948,Kota Kecil,Kalimantan,7264,8,28,4,325.0,29,7.5,470,10290,3.5,3057,283.12
CBG00180,Metro,Jawa Timur,6143,6,15,4,491.0,43,7.6,390,8574,4.6,1990,310.7
CBG00268,Kota Besar,Sulawesi,7059,10,29,4,444.0,20,7.5,500,10862,4.7,3099,305.88
CBG00179,Kota Besar,Jawa Timur,10074,10,25,4,462.0,10,8.1,636,14026,4.52,9274,335.3
CBG00692,Kota Besar,Sumatera,9611,11,29,6,500.0,10,8.6,620,13494,4.78,8334,337.84
CBG00878,Kota Besar,Jawa Tengah,4379,5,18,3,348.0,8,9.3,249,5476,4.36,7505,215.8
CBG02062,Kota Besar,Jawa Barat,2448,6,17,3,446.0,44,7.6,233,5149,4.77,4001,206.84
CBG01263,Kota Besar,Jawa Tengah,5057,3,12,4,339.0,21,8.3,437,9562,3.88,2227,237.19
CBG01826,Kota Kecil,Kalimantan,2658,7,23,4,283.0,2,8.9,221,4856,5.0,9061,190.17
CBG02890,Kota Besar,Jawa Timur,5518,5,13,2,263.0,14,6.9,327,7244,3.36,8651,229.84
CBG01426,Kota Besar,Sulawesi,8189,10,27,6,488.0,19,9.0,521,11538,4.43,5072,318.64
CBG00489,Kota Kecil,Sulawesi,1191,2,12,1,225.0,22,8.5,156,3395,4.47,7101,123.51
CBG02398,Kota Besar,Jawa Tengah,3488,6,20,3,273.0,9,7.0,221,4869,4.68,2113,198.17
CBG02682,Metro,Jawa Barat,8839,10,31,4,385.0,10,7.4,519,11406,4.42,6589,395.74
CBG00052,Kota Besar,Jawa Timur,6957,8,20,4,465.0,34,9.0,506,11052,4.51,9897,302.48
CBG02176,Metro,Kalimantan,11937,13,36,7,539.0,13,8.6,784,17299,3.82,4320,390.79
CBG01063,Kota Kecil,Jawa Tengah,6148,5,20,4,433.0,32,9.0,498,11005,4.18,8710,268.6
CBG02272,Kota Besar,Jawa Barat,9702,9,25,5,,3,7.2,615,13557,3.83,5412,323.82
CBG01594,Metro,Indonesia Timur,10208,11,30,4,546.0,8,8.5,676,14883,3.85,5130,367.81
CBG00064,Kota Besar,Kalimantan,6325,9,28,2,335.0,42,7.5,465,10203,4.48,6026,300.14
CBG00846,Kota Besar,Sumatera,5876,7,21,4,317.0,2,9.2,402,8843,,5229,250.41
CBG00839,Metro,Jawa Timur,4636,7,18,3,454.0,31,7.3,379,8272,4.36,4788,275.49
CBG00211,Kota Besar,Sumatera,7270,8,20,5,406.0,12,6.5,411,9022,4.16,2867,267.28
CBG01507,Kota Besar,Indonesia Timur,4852,4,11,6,266.0,26,8.8,287,6335,3.95,3092,254.2
CBG02819,Metro,Jawa Barat,9743,9,25,3,468.0,12,8.7,620,13759,3.64,7265,351.78
CBG00706,Kota Kecil,Sumatera,3213,6,16,3,,42,7.9,344,7631,3.85,1093,196.32
CBG02683,Metro,Jawa Barat,6797,7,20,4,,12,7.9,515,11391,4.1,2595,357.16
CBG01209,Kota Besar,Jawa Tengah,6748,7,20,4,305.0,12,7.6,508,11191,3.65,9992,273.67
CBG01033,Kota Besar,Jawa Barat,11074,12,31,6,501.0,31,10.1,671,14824,3.26,1068,366.13
CBG01424,Kota Besar,Sumatera,1751,4,10,3,277.0,16,7.9,65,1417,3.81,1548,160.95
CBG02194,Kota Kecil,Indonesia Timur,7248,9,28,5,429.0,23,8.1,589,12877,5.0,4226,319.68
CBG00340,Kota Kecil,Kalimantan,4606,4,15,4,246.0,43,6.9,353,7789,4.27,1008,225.4
CBG01303,Kota Kecil,Sumatera,350,2,15,1,90.0,30,7.0,57,1253,4.23,7602,92.9
CBG00978,Metro,Kalimantan,9657,9,26,5,600.0,26,8.3,697,15366,4.31,8590,372.12
CBG02392,Kota Besar,Jawa Tengah,8124,9,30,4,445.0,43,8.9,618,13592,4.25,2081,342.22
CBG02259,Metro,Sumatera,9468,9,25,5,537.0,17,9.0,633,13907,4.36,8583,341.42
CBG01939,Kota Besar,Indonesia Timur,4779,7,26,5,,22,8.4,291,6408,4.18,9577,272.4
CBG00663,Kota Kecil,Jawa Timur,8971,7,23,4,514.0,8,9.1,650,14290,4.37,2887,311.46
CBG01674,Kota Besar,Jawa Tengah,7587,7,21,4,483.0,41,7.2,483,10691,4.23,9635,304.02
CBG01085,Kota Kecil,Sumatera,5606,7,19,4,374.0,15,8.5,387,8484,2.9,8454,296.31
CBG02297,Metro,Jawa Tengah,13469,15,35,8,790.0,13,8.4,873,19353,4.32,9139,417.99
CBG02932,Kota Besar,Jawa Tengah,5492,6,20,5,333.0,14,7.8,459,10013,4.05,4501,241.93
CBG02843,Metro,Jawa Tengah,7275,11,24,5,457.0,24,8.3,535,11917,3.87,5817,327.33
CBG02490,Metro,Jawa Barat,8023,7,22,5,,14,8.8,487,10673,4.93,7247,346.03
CBG02428,Kota Kecil,Jawa Tengah,2907,5,16,3,250.0,5,6.8,118,2578,4.48,6261,162.14
CBG02807,Kota Kecil,Kalimantan,4185,5,16,3,434.0,35,8.2,317,6975,4.18,3324,232.0
CBG01883,Kota Kecil,Jawa Timur,3295,3,11,2,345.0,41,7.9,331,7248,4.12,6980,191.3
CBG00355,Kota Kecil,Sulawesi,5110,7,21,5,310.0,31,8.0,404,8904,3.8,3361,258.01
CBG02825,Kota Besar,Kalimantan,9684,10,26,6,515.0,22,6.9,647,14163,4.0,8989,347.29
CBG00848,Kota Kecil,Jawa Timur,5365,6,23,3,352.0,39,8.0,297,6498,3.62,5722,253.82
CBG00695,Kota Kecil,Kalimantan,8186,10,31,4,447.0,14,8.9,588,12987,4.45,5813,323.44
CBG02897,Kota Besar,Jawa Timur,8314,8,26,5,367.0,22,9.2,489,10796,4.77,1100,307.18
CBG00714,Kota Besar,Sumatera,9550,9,27,6,571.0,14,8.9,629,13780,3.57,8092,333.97
CBG02124,Kota Besar,Indonesia Timur,2464,4,14,1,259.0,14,7.6,171,3736,4.71,9931,173.38
CBG02245,Kota Kecil,Jawa Barat,6289,8,23,5,601.0,15,8.4,366,7971,3.9,6944,285.82
CBG00059,Kota Kecil,Jawa Barat,3242,3,10,4,267.0,21,7.5,322,7135,5.0,4005,223.22
CBG02001,Kota Kecil,Jawa Timur,3920,9,21,1,,44,6.7,352,7804,3.51,7756,222.67
CBG02048,Kota Kecil,Jawa Barat,3194,4,15,2,367.0,27,6.1,227,4991,5.0,2960,181.68
CBG01891,Kota Kecil,Sumatera,9570,10,27,4,447.0,31,8.1,648,14266,4.49,9675,333.13
CBG01030,Kota Kecil,Jawa Barat,5579,7,21,5,495.0,44,8.2,439,9651,,1782,278.45
CBG00215,Kota Kecil,Kalimantan,4412,6,23,4,322.0,43,9.0,349,7711,4.65,9373,254.12
CBG00737,Kota Kecil,Sulawesi,4459,4,15,5,344.0,20,8.7,328,7251,3.44,2280,214.67
CBG02228,Metro,Sumatera,11969,12,32,7,528.0,22,8.4,805,17544,3.86,3559,388.98
CBG02583,Kota Kecil,Jawa Barat,1565,3,14,2,305.0,33,8.9,160,3506,3.47,8743,153.82
CBG02942,Kota Kecil,Jawa Barat,3535,4,14,1,294.0,45,8.7,302,6681,4.86,1605,202.66
CBG01600,Kota Besar,Jawa Tengah,7169,9,24,4,593.0,27,8.4,409,9022,4.17,3113,312.27
CBG01510,Kota Kecil,Sulawesi,6244,7,22,3,448.0,42,6.2,383,8412,3.43,2997,263.77
CBG00761,Kota Besar,Sumatera,8288,9,28,6,507.0,8,7.4,633,13898,3.84,6676,316.06
CBG00454,Kota Besar,Sulawesi,10424,9,27,6,612.0,36,7.9,689,15320,3.85,6939,407.28
CBG02663,Kota Kecil,Jawa Tengah,350,2,14,3,282.0,6,9.1,103,2287,,6094,103.32
CBG02288,Kota Besar,Indonesia Timur,3098,5,12,3,307.0,19,7.7,244,5345,3.83,7255,211.2
CBG00691,Kota Besar,Jawa Timur,7417,8,27,4,,34,7.6,496,10949,4.36,9042,311.84
CBG00214,Kota Besar,Jawa Barat,5947,9,26,2,,12,7.9,468,10292,3.36,2102,256.72
CBG02407,Kota Kecil,Jawa Barat,3358,6,20,2,298.0,2,6.9,343,7527,4.76,1466,182.97
CBG01597,Kota Besar,Jawa Barat,9665,8,24,6,471.0,7,8.6,627,13847,4.03,9545,318.68
CBG02793,Kota Kecil,Sulawesi,4454,5,16,2,273.0,15,7.8,287,6308,3.3,3315,212.78
CBG00342,Kota Kecil,Indonesia Timur,3592,4,12,4,226.0,23,7.4,229,5024,4.75,8945,191.36
CBG00148,Kota Besar,Kalimantan,3708,7,20,3,260.0,16,8.1,228,5019,4.97,9838,221.32
CBG02889,Kota Kecil,Sumatera,4336,5,18,3,,37,7.2,380,8412,4.43,6223,227.16
CBG02435,Kota Kecil,Sumatera,4967,4,11,4,354.0,3,10.0,418,9205,4.48,9342,219.19
CBG01040,Kota Kecil,Kalimantan,5082,6,18,3,410.0,7,6.7,384,8483,5.0,9632,217.18
CBG00671,Kota Kecil,Sumatera,4971,6,14,3,358.0,12,8.6,360,7846,4.57,2058,235.64
CBG00218,Kota Besar,Jawa Tengah,4827,6,20,3,294.0,12,8.4,399,8647,4.37,7055,235.92
CBG01298,Kota Besar,Jawa Barat,7441,10,26,3,476.0,17,9.8,435,9522,4.17,5011,313.11
CBG00453,Metro,Sulawesi,9828,11,31,7,552.0,36,8.3,721,15808,4.13,6881,396.71
CBG00834,Kota Besar,Jawa Barat,6985,8,23,5,263.0,41,9.0,507,11188,3.51,1239,350.98
CBG02467,Kota Kecil,Jawa Barat,4285,5,16,3,346.0,30,8.9,279,6081,4.59,5491,216.82
CBG01203,Kota Kecil,Sumatera,5583,4,12,4,224.0,17,9.0,439,9626,3.93,3904,229.47
CBG01988,Kota Kecil,Indonesia Timur,4269,7,25,5,272.0,43,8.0,394,8659,,7433,248.0
CBG01023,Kota Kecil,Indonesia Timur,989,3,8,1,146.0,36,8.2,39,860,4.76,1227,140.13
CBG01316,Kota Besar,Jawa Timur,9809,8,25,5,452.0,4,8.4,644,14207,3.95,8694,318.64
CBG00745,Kota Besar,Jawa Barat,3156,4,14,3,247.0,12,10.5,230,5029,3.76,4046,191.3
CBG02291,Kota Kecil,Jawa Timur,3867,6,19,3,368.0,21,9.1,281,6168,3.97,8884,242.41
CBG00825,Kota Besar,Jawa Tengah,7027,7,24,4,503.0,25,6.9,542,11957,3.8,6292,295.61
CBG02077,Metro,Jawa Barat,12303,12,33,6,545.0,6,7.4,862,19170,3.57,5170,389.14
CBG02110,Metro,Jawa Tengah,8403,8,21,5,482.0,18,8.0,505,11113,4.3,9207,340.12
CBG02802,Kota Kecil,Jawa Timur,6968,7,17,4,416.0,35,7.8,399,8806,,7067,271.65
CBG01125,Kota Kecil,Indonesia Timur,4656,5,14,4,270.0,27,7.0,229,5050,4.1,3002,223.61
CBG02403,Kota Besar,Kalimantan,7070,7,17,5,407.0,35,9.0,480,10521,4.31,3586,299.3
CBG00906,Kota Kecil,Jawa Tengah,6974,8,24,4,404.0,17,7.5,535,11844,4.6,2439,274.12
CBG01887,Kota Kecil,Sulawesi,2489,5,15,1,373.0,18,6.8,169,3751,4.16,5730,165.96
CBG02322,Kota Besar,Sumatera,7814,5,18,8,421.0,14,7.6,503,10996,4.05,6155,294.2
CBG02115,Kota Besar,Jawa Timur,4720,6,18,5,396.0,33,7.5,297,6567,4.68,9645,259.38
CBG01472,Kota Besar,Jawa Timur,6775,7,24,5,469.0,26,7.5,453,10000,4.3,2101,302.35
CBG02036,Kota Besar,Jawa Barat,5695,6,20,2,454.0,15,6.8,425,9414,3.6,2785,256.37
CBG00151,Kota Besar,Jawa Timur,6553,10,28,4,340.0,23,8.1,492,10747,4.48,5314,285.76
CBG02353,Kota Kecil,Jawa Timur,5078,7,22,3,389.0,40,6.6,361,7936,5.0,7029,237.97
CBG02818,Kota Kecil,Jawa Timur,3792,6,23,1,359.0,25,6.0,358,7874,4.58,8295,217.67
CBG02126,Kota Besar,Jawa Barat,6888,6,18,4,515.0,23,6.0,488,10715,3.93,8003,283.46
CBG02347,Kota Kecil,Sumatera,3213,3,9,1,202.0,11,7.0,261,5738,5.0,1566,159.08
CBG00485,Metro,Jawa Timur,6160,4,14,4,471.0,44,9.3,385,8421,4.41,3080,317.78
CBG01755,Kota Besar,Sumatera,7968,8,17,3,512.0,9,6.3,521,11416,4.1,4055,302.91
CBG01903,Kota Besar,Jawa Timur,6204,4,9,2,454.0,12,8.4,449,9864,4.69,2021,245.08
CBG00752,Kota Besar,Sulawesi,4152,6,19,2,365.0,45,7.4,270,5971,4.62,8170,258.16
CBG02491,Kota Kecil,Jawa Timur,6533,8,25,6,,34,7.7,428,9375,4.53,4944,284.22
CBG01313,Kota Kecil,Jawa Timur,1096,5,18,1,254.0,9,7.9,136,2991,4.83,9183,134.34
CBG02705,Kota Kecil,Jawa Tengah,3667,6,19,3,256.0,19,7.8,340,7475,3.24,4141,192.89
CBG01083,Kota Kecil,Jawa Barat,6005,8,20,3,465.0,2,9.1,361,8012,3.99,2641,256.42
CBG02767,Metro,Jawa Tengah,9493,11,31,6,427.0,30,7.9,615,13395,3.03,9130,368.79
CBG01257,Kota Kecil,Sulawesi,350,2,5,1,98.0,25,8.6,97,2119,5.0,4114,90.24
CBG01823,Kota Besar,Sulawesi,5934,9,24,4,331.0,4,8.0,407,8953,4.4,9759,261.04
CBG00518,Kota Kecil,Indonesia Timur,5573,5,14,3,262.0,21,7.6,484,10634,3.95,8180,262.11
CBG02018,Metro,Kalimantan,7779,7,19,4,394.0,36,8.2,549,12212,4.61,6910,333.03
CBG01660,Metro,Jawa Barat,9810,9,24,6,,18,7.3,592,12925,3.9,6252,367.45
CBG02268,Kota Besar,Kalimantan,6840,9,23,7,473.0,30,9.4,366,8114,5.0,6054,316.22
CBG00940,Kota Kecil,Jawa Barat,4187,7,25,4,,9,6.2,229,5044,3.99,5804,214.37
CBG01276,Kota Besar,Sulawesi,3786,5,15,5,374.0,7,8.9,223,4886,3.84,4817,214.07
CBG00193,Kota Kecil,Jawa Timur,4741,6,19,1,425.0,38,8.8,371,8158,4.39,4641,256.5
CBG01003,Kota Besar,Sumatera,4466,2,12,4,,27,6.9,287,6353,4.81,3087,216.23
CBG02943,Kota Besar,Kalimantan,6168,8,23,4,336.0,3,7.2,370,8143,3.45,5944,280.55
CBG02691,Kota Besar,Sumatera,7025,7,21,6,477.0,22,9.2,491,10772,5.0,4563,304.36
CBG00073,Metro,Indonesia Timur,6150,8,22,4,465.0,12,7.6,378,8322,,8734,312.99
CBG02664,Kota Besar,Sumatera,5772,6,17,6,466.0,3,8.2,429,9442,3.35,5758,262.63
CBG00090,Kota Kecil,Sumatera,8186,9,24,5,565.0,38,8.5,501,11046,3.34,9594,318.51
CBG00922,Kota Kecil,Jawa Timur,5684,6,18,3,489.0,16,7.8,409,9063,4.35,2809,246.69
CBG00018,Kota Besar,Jawa Barat,7750,7,20,3,417.0,17,7.9,525,11568,3.65,1158,301.35
CBG00702,Kota Kecil,Sulawesi,5404,8,21,3,395.0,31,9.0,430,9471,4.01,9068,258.3
CBG02444,Kota Besar,Kalimantan,6476,6,20,4,393.0,26,8.3,526,11634,4.52,2812,288.06
CBG02647,Kota Besar,Jawa Tengah,4603,7,21,6,297.0,9,9.3,323,7048,3.59,8198,241.62
CBG00116,Kota Kecil,Kalimantan,4926,8,24,1,401.0,24,9.1,378,8265,4.56,2908,252.02
CBG02929,Kota Kecil,Sumatera,4343,8,23,3,441.0,35,9.1,348,7602,4.06,7673,239.22
CBG02930,Metro,Jawa Timur,14000,13,34,7,607.0,44,8.8,992,21755,4.45,9979,418.49
CBG02540,Kota Kecil,Jawa Timur,3087,4,13,2,270.0,44,7.6,181,3984,4.0,6322,199.83
CBG01147,Metro,Sulawesi,8714,7,18,4,503.0,34,9.1,551,12203,4.01,9725,355.88
CBG00263,Kota Besar,Jawa Barat,5650,6,18,4,421.0,41,9.6,337,7458,3.64,7926,279.71
CBG02034,Kota Kecil,Jawa Barat,2190,3,11,1,221.0,31,7.7,242,5277,3.9,9229,139.19
CBG01486,Kota Besar,Sulawesi,5372,7,22,3,341.0,6,7.1,359,7893,4.06,7060,252.0
CBG02978,Kota Besar,Jawa Timur,7352,9,27,3,,6,8.8,575,12623,4.18,5594,290.34
CBG01768,Kota Kecil,Jawa Barat,6979,5,17,5,443.0,12,6.7,490,10817,4.84,5990,266.58
CBG00299,Kota Besar,Jawa Timur,6380,7,18,5,442.0,43,8.7,448,9884,,3611,299.31
CBG02437,Kota Besar,Jawa Barat,7091,6,19,5,,35,6.8,405,8840,4.16,8971,299.22
CBG02159,Metro,Jawa Timur,10184,11,29,6,413.0,3,6.0,737,16364,3.41,3200,358.11
CBG02968,Kota Besar,Jawa Barat,6841,8,24,4,413.0,40,7.5,465,10187,3.43,5021,313.21
CBG02999,Kota Besar,Jawa Tengah,5705,6,16,2,417.0,20,7.6,319,7026,3.8,4709,245.8
CBG00513,Metro,Jawa Tengah,8628,7,20,6,505.0,34,8.3,624,13587,3.43,5195,344.0
CBG00038,Metro,Sumatera,3975,6,17,2,285.0,38,9.5,298,6610,4.04,4419,252.36
CBG02395,Kota Kecil,Jawa Tengah,2645,2,7,2,293.0,40,6.6,155,3395,4.26,1951,163.52
CBG02169,Metro,Jawa Barat,6187,8,22,5,441.0,6,8.6,412,9107,3.87,7523,281.2
CBG01654,Kota Kecil,Sumatera,8392,9,25,5,429.0,19,8.7,565,12409,3.64,1818,357.45
CBG00399,Kota Kecil,Jawa Timur,350,2,6,1,225.0,42,6.0,30,664,3.17,2420,101.79
CBG01421,Kota Kecil,Indonesia Timur,3882,4,10,5,419.0,32,8.0,246,5395,4.1,2645,225.08
CBG01091,Kota Kecil,Jawa Barat,1819,6,17,1,239.0,17,9.8,86,1875,3.99,3893,159.46
CBG01171,Metro,Jawa Timur,5481,7,21,5,402.0,34,6.5,373,8244,4.01,1644,292.48
CBG01413,Kota Kecil,Jawa Barat,2843,5,11,3,240.0,31,8.1,168,3725,4.42,2521,186.66
CBG01277,Kota Besar,Jawa Barat,6573,8,26,4,388.0,7,8.5,391,8619,3.74,5517,282.38
CBG01168,Kota Besar,Sulawesi,7069,6,19,4,558.0,42,8.0,506,11022,4.67,2674,311.21
CBG01204,Kota Kecil,Jawa Tengah,5714,5,15,4,312.0,41,8.5,430,9461,4.94,8939,239.04
CBG00396,Kota Besar,Sulawesi,6070,7,20,3,385.0,7,8.4,404,8916,3.43,2627,267.31
CBG00095,Kota Besar,Sumatera,9310,11,26,5,711.0,31,8.1,559,12400,4.9,1752,357.36
CBG01166,Metro,Kalimantan,12615,10,29,6,709.0,16,9.4,844,18497,4.85,4425,391.18
CBG00677,Kota Besar,Sulawesi,5856,10,28,3,429.0,13,7.6,412,9002,3.92,6107,280.27
CBG02021,Kota Besar,Indonesia Timur,6842,7,17,3,461.0,3,6.8,442,9692,3.92,6225,282.76
CBG02634,Kota Kecil,Jawa Barat,350,3,12,1,159.0,40,7.9,65,1420,3.47,6087,105.48
CBG00896,Kota Kecil,Sulawesi,2774,4,14,2,287.0,40,8.3,198,4422,4.49,2932,186.13
CBG01448,Kota Kecil,Jawa Timur,4976,8,26,5,,2,8.2,398,8814,4.46,3883,218.18
CBG01069,Metro,Jawa Timur,7799,8,24,6,392.0,38,6.1,555,12224,4.51,4856,331.98
CBG02630,Kota Besar,Kalimantan,6102,6,18,4,470.0,12,7.0,436,9650,4.26,8519,262.72
CBG00998,Kota Kecil,Sumatera,3740,3,17,3,265.0,23,8.5,186,4117,3.85,4698,201.23
CBG02338,Kota Besar,Jawa Tengah,5439,7,21,3,461.0,3,8.7,372,8154,4.14,7595,251.77
CBG00197,Kota Kecil,Jawa Barat,6747,7,19,3,327.0,25,8.6,527,11558,3.91,3090,275.31
CBG00408,Metro,Jawa Barat,4803,8,17,3,404.0,32,6.8,400,8838,3.94,9588,275.74
CBG00662,Kota Besar,Jawa Barat,8222,7,21,5,423.0,45,8.2,522,11407,4.28,8002,332.82
CBG00579,Kota Besar,Sulawesi,9457,10,29,7,587.0,11,7.5,588,12821,4.15,3946,349.28
CBG00972,Kota Besar,Kalimantan,5037,6,19,3,235.0,36,7.2,502,11023,3.9,4736,246.82
CBG00944,Kota Besar,Jawa Tengah,5085,5,13,2,287.0,1,6.5,375,8353,4.58,6905,221.36
CBG02289,Kota Besar,Sumatera,9040,11,27,5,512.0,41,7.5,573,12701,3.73,7237,356.43
CBG00318,Kota Besar,Kalimantan,9094,11,29,7,551.0,26,7.3,624,13744,4.84,5270,347.79
CBG02336,Kota Besar,Sumatera,4978,8,23,5,375.0,15,8.1,371,8158,4.03,3166,265.53
CBG02904,Kota Kecil,Sumatera,350,5,17,1,180.0,45,9.2,46,1022,4.73,4477,125.36
CBG02527,Kota Kecil,Sumatera,992,2,9,2,117.0,38,8.1,20,446,3.42,4814,112.48
CBG02531,Kota Kecil,Sumatera,6060,6,13,7,341.0,13,8.4,466,10246,4.61,1750,241.31
CBG01798,Metro,Jawa Barat,7310,9,23,4,386.0,34,6.7,543,12005,4.94,1016,333.51
CBG01282,Kota Besar,Jawa Timur,5699,6,19,4,328.0,23,8.8,356,7848,4.65,6661,266.12
CBG01037,Kota Kecil,Jawa Timur,3250,6,14,4,260.0,41,9.0,191,4210,4.46,2505,214.81
CBG00545,Kota Kecil,Jawa Barat,4391,7,19,2,,22,8.9,426,9372,4.29,9348,223.59
CBG01396,Kota Kecil,Indonesia Timur,350,3,10,3,263.0,44,9.3,104,2284,3.87,6657,128.58
CBG02685,Kota Kecil,Jawa Tengah,4434,5,15,3,214.0,13,6.9,406,9033,4.23,3678,193.77
CBG02564,Kota Kecil,Sumatera,7340,5,12,4,313.0,21,6.6,546,11971,4.06,4635,256.11
CBG00547,Kota Kecil,Jawa Barat,5861,7,19,4,386.0,17,7.9,502,10987,4.52,2898,243.76
CBG02778,Kota Besar,Jawa Timur,5071,6,16,3,203.0,33,8.4,409,9078,3.78,4714,240.65
CBG01097,Kota Kecil,Indonesia Timur,3585,5,14,1,354.0,2,9.3,306,6713,3.96,6190,246.47
CBG01193,Kota Besar,Sumatera,2632,4,15,3,243.0,14,8.6,209,4560,4.08,1492,173.08
CBG02317,Metro,Jawa Timur,10545,11,32,8,505.0,2,7.7,729,15962,3.25,7525,371.16
CBG02209,Metro,Jawa Barat,6562,8,23,4,451.0,9,8.5,489,10799,3.53,6486,304.73
CBG02674,Metro,Jawa Barat,6220,6,18,5,366.0,14,7.5,380,8309,3.82,6549,284.48
CBG00636,Kota Besar,Jawa Tengah,9958,9,23,6,371.0,40,7.8,705,15469,4.33,9372,339.44
CBG00890,Metro,Jawa Tengah,14000,10,25,9,629.0,18,7.2,905,19892,4.66,2906,389.82
CBG00591,Kota Kecil,Sumatera,3622,6,17,1,305.0,38,6.3,276,6110,3.23,6784,207.91
CBG00963,Metro,Sumatera,11296,11,32,5,586.0,40,8.7,779,17016,5.0,4947,391.4
CBG02225,Kota Kecil,Sumatera,4825,7,22,3,452.0,8,6.9,392,8593,4.59,1943,234.42
CBG02143,Metro,Kalimantan,7241,7,21,4,357.0,30,7.9,545,12015,3.85,8947,331.17
CBG00109,Kota Kecil,Jawa Barat,3999,7,18,2,353.0,19,9.8,297,6551,4.34,6688,225.52
CBG01403,Kota Besar,Sulawesi,8444,9,27,5,,45,8.8,568,12439,3.61,4632,350.01
CBG00893,Kota Besar,Indonesia Timur,6004,6,19,5,284.0,13,7.2,354,7817,3.0,2529,255.44
CBG01451,Kota Besar,Jawa Barat,5529,6,19,4,293.0,7,7.0,374,8207,5.0,8173,245.6
CBG02339,Kota Kecil,Sumatera,2379,4,18,2,183.0,37,6.7,337,7410,5.0,3812,170.59
CBG02554,Kota Kecil,Indonesia Timur,4702,7,14,1,362.0,36,8.2,332,7302,4.53,2295,227.43
CBG02591,Kota Besar,Sumatera,7453,7,21,4,,1,8.0,452,9955,,7638,280.32
CBG01158,Kota Kecil,Sumatera,350,3,8,3,206.0,24,8.0,104,2290,4.43,6278,97.85
CBG00713,Kota Kecil,Sulawesi,2305,5,14,3,277.0,24,8.0,295,6491,4.76,6212,168.23
CBG00288,Kota Besar,Jawa Timur,10654,9,26,8,446.0,35,8.7,745,16472,4.03,9408,359.26
CBG01011,Metro,Jawa Barat,7819,9,26,2,402.0,10,8.2,550,12117,4.22,1446,316.72
CBG01006,Kota Kecil,Jawa Barat,3926,3,15,4,200.0,22,7.0,223,4872,4.31,1248,199.78
CBG01618,Metro,Jawa Timur,8643,8,25,6,490.0,34,7.2,576,12666,4.3,4547,370.28
CBG01684,Kota Besar,Sulawesi,2685,6,21,1,359.0,26,8.1,276,6017,3.68,4965,195.81
CBG01579,Metro,Jawa Barat,11190,9,23,7,773.0,21,8.0,791,17256,,4585,383.88
CBG01219,Metro,Jawa Timur,8968,11,28,5,507.0,14,8.4,637,13989,3.41,3211,358.85
CBG01587,Kota Kecil,Sulawesi,5592,7,22,4,,25,7.1,357,7906,3.45,2568,260.41
CBG02815,Kota Kecil,Indonesia Timur,8340,7,25,5,415.0,32,6.6,609,13417,4.28,3493,302.17
CBG02855,Metro,Jawa Timur,6750,6,18,4,,36,8.5,465,10229,4.11,6770,293.11
CBG00796,Kota Besar,Jawa Tengah,4573,5,13,2,224.0,3,7.6,259,5679,3.62,4607,199.22
CBG00201,Kota Besar,Sulawesi,8705,10,29,7,542.0,37,8.2,509,11285,4.51,8477,348.38
CBG02512,Kota Kecil,Jawa Barat,3851,2,10,3,222.0,31,7.9,247,5417,4.62,2996,181.9
CBG01459,Metro,Sumatera,6957,7,21,6,323.0,42,7.9,479,10616,3.43,5806,317.85
CBG02706,Kota Besar,Jawa Timur,5521,7,19,4,401.0,31,6.0,380,8381,3.99,2960,265.47
CBG01325,Kota Kecil,Indonesia Timur,3797,4,15,1,,45,8.3,196,4303,3.82,3657,224.36
CBG01076,Kota Besar,Jawa Timur,8805,9,21,1,590.0,32,8.7,595,13182,,7711,346.51
CBG00526,Kota Besar,Jawa Barat,8956,13,35,4,563.0,19,9.5,626,13685,4.44,6533,344.03
CBG02042,Kota Kecil,Jawa Barat,4697,6,15,4,410.0,23,9.5,373,8170,3.71,8714,235.52
CBG02870,Kota Kecil,Sumatera,6232,9,21,4,,44,8.5,367,8096,3.31,7104,289.1
CBG02119,Kota Kecil,Sumatera,3278,3,12,2,356.0,40,6.7,188,4183,3.5,5161,194.76
CBG00507,Metro,Sumatera,10067,9,24,3,542.0,37,7.1,713,15748,3.66,2886,366.67
CBG00480,Kota Kecil,Jawa Barat,4740,7,18,4,233.0,29,9.8,288,6313,4.07,1165,238.81
CBG00688,Metro,Sumatera,10528,12,31,5,553.0,15,8.6,623,13686,4.1,9980,376.36
CBG01189,Metro,Jawa Tengah,10988,11,24,5,450.0,11,7.3,689,14919,3.69,3104,354.05
CBG02690,Kota Besar,Jawa Timur,3569,4,14,4,274.0,8,7.9,170,3748,4.03,6526,194.5
CBG00397,Kota Kecil,Jawa Barat,4113,6,16,2,,1,7.1,290,6444,4.55,6304,191.29
CBG02186,Kota Besar,Sulawesi,5819,6,16,4,376.0,19,8.7,391,8650,3.94,5991,249.54
CBG01366,Metro,Sulawesi,9565,11,33,5,439.0,27,7.5,574,12631,4.11,5267,367.85
CBG01862,Kota Kecil,Indonesia Timur,2624,3,13,1,261.0,10,7.1,208,4573,4.5,4202,154.0
CBG00837,Kota Besar,Sumatera,8134,7,21,6,491.0,23,7.4,493,10845,2.98,6973,306.8
